BFNE SIAS SPS SPAS BIQ ASI APEVAL OWPRE SAAS
33 18 11 40 -0.1 3.0714285714 4.2857142857 1.3333333333 1.75
31 9 4 46 0 2.8571428571 3.1428571429 1 1.8125
35 12 6 49 4 3.4285714286 3.1428571429 3.3333333333 1.8125
31 22 12 52 0.4545454545 1.2142857143 3.5714285714 3 1.8125
26 8 7 55 1.7 2.8571428571 2 1 1.8125
41 24 18 49 2.3636363636 3.9285714286 3.8571428571 5 1.8125
32 20 12 29 0.1818181818 2.3571428571 4.7142857143 1 1.875
29 14 6 34 1.5454545455 1.2857142857 4.2857142857 1 1.875
32 13 13 45 0.2727272727 2.4285714286 3.8571428571 1 1.875
33 16 21 55 2.2727272727 3.4285714286 3.2857142857 1.6666666667 1.9375
39 15 11 50 0.9090909091 2.3571428571 3.8571428571 5 1.9375
29 17 21 47 0.6363636364 2.2142857143 3.2857142857 3 1.9375
32 24 21 51 1.2727272727 3.4285714286 3.7142857143 3.3333333333 1.9375
27 14 14 46 0 2.2142857143 3.4285714286 4 2.0625
31 11 3 45 0.6363636364 2.4285714286 3.1428571429 1 2.0625
32 29 24 48 2.3636363636 2.4285714286 3.1428571429 2.3333333333 2.125
42 21 22 54 2.2727272727 2.7857142857 3 3.6666666667 2.125
38 27 9 60 3.2727272727 2.5714285714 2 3.6666666667 2.1875
36 35 21 47 4.2727272727 2.4285714286 3.1428571429 3.6666666667 2.3125
37 34 32 46 2.8181818182 3 3.7142857143 1.6666666667 2.3125
37 64 58 36 0.3636363636 2 4.2857142857 2.3333333333 2.4375
40 23 17 50 3.1818181818 2.2857142857 3.7142857143 3 2.5
36 36 15 40 0.1818181818 1.8571428571 4.4285714286 1 2.5625
31 34 13 44 0.9090909091 1.2142857143 3.2857142857 1 2.625
51 21 27 57 2.5454545455 2.2857142857 1.7142857143 5 2.6875
34 16 10 46 1 2.7857142857 4.1428571429 1.6666666667 2.6875
41 27 29 47 1.9090909091 3.2142857143 4 4 2.6875
40 32 30 53 1.1818181818 2.2857142857 3 2.3333333333 2.75
31 26 17 42 0 2.2142857143 3.8571428571 3.3333333333 2.8125
56 57 24 57 3.6363636364 3 2.4285714286 5 2.8125
31 34 17 51 1.1818181818 2.3571428571 2.8571428571 3.3333333333 2.875
42 36 26 55 3.1818181818 2.8571428571 3 3.6666666667 3
39 58 41 55 2.5454545455 2.7857142857 2.2857142857 4 3.0625
49 25 9 55 4.5454545455 3.2142857143 2.2857142857 4.3333333333 3.0625
34 32 20 52 1.2727272727 3 3.2857142857 3.3333333333 3.0625
47 25 27 56 2.9090909091 2.7857142857 2.4285714286 4 3.0625
37 36 34 47 2.7272727273 3.2142857143 3 3 3.125
47 38 28 47 2.4545454545 2.8571428571 3.2857142857 3 3.1875
40 33 17 57 2.4545454545 2.4285714286 2.4285714286 2.3333333333 3.1875
55 40 26 52 5.6363636364 4.2142857143 3 1.6666666667 3.3125
40 42 30 44 0.6363636364 3.0714285714 3.2857142857 2.3333333333 3.5625
36 33 48 43 2 3.9285714286 3 5 3.5625
50 36 33 56 4.6363636364 4.2857142857 3.2857142857 4.6666666667 3.625
49 52 26 46 3.0909090909 2.6428571429 2.5714285714 1.3333333333 3.75
59 32 41 56 3.9090909091 4.3571428571 2.2857142857 4.3333333333 3.875
56 49 48 57 4.5454545455 4.0769230769 1.7142857143 4 5
