"profnumber" "eval" "beauty" "female" "age" "minority" "tenured" "gpa"
"88" 88 3.3 -1.269975 0 62 0 1 1.89
"89" 89 3.4 1.681103 1 35 1 0 0.17
"90" 90 3.6 -0.6756103 0 61 0 1 0.4
"91" 91 4 -0.0901815 1 52 0 1 3.54
"92" 92 3.9 -0.1450257 1 60 0 0 2.92
"93" 93 4.3 1.143045 0 32 0 0 3.53
"94" 94 3.3 0.3320507 1 42 1 0 3.23
"95" 1 3.7 0.2015666 1 36 1 0 1.2
"96" 1 3.6 0.2015666 1 36 1 0 3.79
"97" 1 4.4 0.2015666 1 36 1 0 3.84
"98" 2 4 -0.8260813 0 59 0 1 2.26
"99" 2 2.1 -0.8260813 0 59 0 1 1.83
"100" 3 3.2 -0.6603327 0 51 0 1 0.29
"101" 4 3.5 -0.7663125 1 40 0 1 1.26
"102" 4 4.1 -0.7663125 1 40 0 1 2.06
"103" 4 4.6 -0.7663125 1 40 0 1 1.64
"104" 4 3.8 -0.7663125 1 40 0 1 2.14
"105" 4 3.8 -0.7663125 1 40 0 1 1.3
"106" 4 3.8 -0.7663125 1 40 0 1 1.64
"107" 4 4.2 -0.7663125 1 40 0 1 2.35
"108" 5 3.9 1.421445 1 31 0 0 4
"109" 5 4.5 1.421445 1 31 0 0 3.1
"110" 5 4.5 1.421445 1 31 0 0 3.94
"111" 5 4.4 1.421445 1 31 0 0 3.94
"112" 5 4.4 1.421445 1 31 0 0 3.94
"113" 6 4.4 0.5002196 0 62 0 1 1.38
"114" 6 4.5 0.5002196 0 62 0 1 4
"115" 6 4.3 0.5002196 0 62 0 1 1.27
"116" 6 4.6 0.5002196 0 62 0 1 1.91
"117" 6 4.8 0.5002196 0 62 0 1 3.19
"118" 6 4.3 0.5002196 0 62 0 1 3.3
"119" 7 4 -0.2143501 1 33 0 0 2.09
"120" 7 4 -0.2143501 1 33 0 0 2.06
"121" 7 3.9 -0.2143501 1 33 0 0 1.07
"122" 7 3.3 -0.2143501 1 33 0 0 1.03
"123" 8 4.5 -0.346539 1 51 0 1 2.46
"124" 8 4.5 -0.346539 1 51 0 1 3.67
"125" 8 4.5 -0.346539 1 51 0 1 2.99
"126" 8 2.5 -0.346539 1 51 0 1 1.77
"127" 8 4.3 -0.346539 1 51 0 1 4
"128" 8 4.5 -0.346539 1 51 0 1 2.07
"129" 9 4.7 0.0613435 1 33 0 0 3.67
"130" 9 3.5 0.0613435 1 33 0 0 1.02
"131" 9 4.5 0.0613435 1 33 0 0 2.92
"132" 9 3.8 0.0613435 1 33 0 0 4
"133" 9 4.5 0.0613435 1 33 0 0 1.3
"134" 9 4.3 0.0613435 1 33 0 0 3.38
"135" 10 3.9 0.4525679 0 47 0 0 1.32
"136" 10 4.3 0.4525679 0 47 0 0 2.47
"137" 10 4.2 0.4525679 0 47 0 0 2.66
"138" 10 5 0.4525679 0 47 0 0 4
"139" 10 5 0.4525679 0 47 0 0 2.82
"140" 10 4.6 0.4525679 0 47 0 0 2.84
"141" 10 5 0.4525679 0 47 0 0 4
"142" 10 4.7 0.4525679 0 47 0 0 1.51
"143" 10 5 0.4525679 0 47 0 0 4
"144" 11 2.7 0.1432643 0 35 1 0 0.43
"145" 11 4 0.1432643 0 35 1 0 1.3
"146" 12 4.4 -0.1550228 0 37 0 0 2.61
"147" 12 4.4 -0.1550228 0 37 0 0 3.26
"148" 12 4.3 -0.1550228 0 37 0 0 2.46
"149" 12 3.5 -0.1550228 0 37 0 0 1.15
"150" 13 3.8 0.1285433 0 42 0 1 3.58
"151" 13 3.9 0.1285433 0 42 0 1 3.72
"152" 13 3.7 0.1285433 0 42 0 1 3.82
"153" 13 3.3 0.1285433 0 42 0 1 3.63
"154" 13 4 0.1285433 0 42 0 1 1.69
"155" 13 3.8 0.1285433 0 42 0 1 3.74
"156" 14 4.2 -0.3470453 0 49 0 1 0.78
"157" 14 3.1 -0.3470453 0 49 0 1 0.24
"158" 14 3.6 -0.3470453 0 49 0 1 0.38
"159" 15 3.3 0.4619388 1 37 0 0 1.83
"160" 15 2.9 0.4619388 1 37 0 0 1.72
"161" 15 3.1 0.4619388 1 37 0 0 1.82
"162" 16 4 -0.1503849 0 45 0 1 0.86
"163" 16 4 -0.1503849 0 45 0 1 2.77
"164" 16 4.2 -0.1503849 0 45 0 1 1.8
"165" 16 3.8 -0.1503849 0 45 0 1 2.09
"166" 16 4.3 -0.1503849 0 45 0 1 3.81
"167" 17 4.6 -1.070734 1 56 0 0 2.97
"168" 17 4.3 -1.070734 1 56 0 0 3.78
"169" 17 3.6 -1.070734 1 56 0 0 1.95
"170" 17 4.2 -1.070734 1 56 0 0 1.44
"171" 18 3.9 -0.1426931 0 48 0 0 2.62
"172" 18 4.1 -0.1426931 0 48 0 0 2.99
"173" 18 4 -0.1426931 0 48 0 0 1
"174" 18 4.3 -0.1426931 0 48 0 0 2.62
"175" 18 3.9 -0.1426931 0 48 0 0 2.74
"176" 18 4.2 -0.1426931 0 48 0 0 1.24
"177" 18 4.2 -0.1426931 0 48 0 0 2.02
"178" 19 4.9 -0.1563634 1 46 0 1 4
"179" 19 4 -0.1563634 1 46 0 1 3.03
"180" 19 4.3 -0.1563634 1 46 0 1 3.27
"181" 19 4.9 -0.1563634 1 46 0 1 1.61
"182" 19 3.9 -0.1563634 1 46 0 1 3.8
"183" 19 4.9 -0.1563634 1 46 0 1 3.92
"184" 19 3.9 -0.1563634 1 46 0 1 2.36
"185" 19 4 -0.1563634 1 46 0 1 3.03
"186" 20 3.5 -0.0589354 1 57 0 0 0.49
"187" 20 3.9 -0.0589354 1 57 0 0 1.43
"188" 20 4 -0.0589354 1 57 0 0 1.27
"189" 20 3.6 -0.0589354 1 57 0 0 1.06
"190" 20 3 -0.0589354 1 57 0 0 1.49
"191" 20 3 -0.0589354 1 57 0 0 1.55
"192" 20 3.6 -0.0589354 1 57 0 0 1.73
"193" 20 3.6 -0.0589354 1 57 0 0 1.19
"194" 20 3.2 -0.0589354 1 57 0 0 1.54
"195" 21 3.9 0.1511368 1 52 0 0 2.19
"196" 21 3.5 0.1511368 1 52 0 0 2.84
"197" 21 3.5 0.1511368 1 52 0 0 2.61
"198" 21 3.1 0.1511368 1 52 0 0 1.9
"199" 21 4.2 0.1511368 1 52 0 0 1.89
"200" 23 3.6 -0.8214405 0 62 0 1 3.2
"201" 23 4.5 -0.8214405 0 62 0 1 3.07
"202" 23 3.7 -0.8214405 0 62 0 1 2.7
"203" 23 3.4 -0.8214405 0 62 0 1 1.26
"204" 24 4.5 -0.1994712 0 64 0 1 1.58
"205" 24 4.6 -0.1994712 0 64 0 1 3.34
"206" 24 4.8 -0.1994712 0 64 0 1 4
"207" 24 4.5 -0.1994712 0 64 0 1 2.19
"208" 24 4.4 -0.1994712 0 64 0 1 1.81
"209" 24 4.1 -0.1994712 0 64 0 1 3.65
"210" 25 3.9 1.687167 1 34 0 0 0.9
"211" 26 4.3 -0.4101976 0 58 0 1 2.93
"212" 26 3.5 -0.4101976 0 58 0 1 2.42
"213" 26 4 -0.4101976 0 58 0 1 4
"214" 26 4 -0.4101976 0 58 0 1 1.75
"215" 27 4.6 0.1233448 0 52 1 1 1.53
"216" 27 4.6 0.1233448 0 52 1 1 2.27
"217" 27 3.7 0.1233448 0 52 1 1 3.28
"218" 27 3.5 0.1233448 0 52 1 1 3.6
"219" 27 3.6 0.1233448 0 52 1 1 0.96
"220" 27 3.9 0.1233448 0 52 1 1 4
"221" 28 4.2 -0.8059942 0 73 0 1 2.04
"222" 28 3.2 -0.8059942 0 73 0 1 1.68
"223" 28 4.9 -0.8059942 0 73 0 1 1.69
"224" 29 4 -0.8210418 0 70 0 1 2.18
"225" 29 3.5 -0.8210418 0 70 0 1 1.76
"226" 29 3.4 -0.8210418 0 70 0 1 2.45
"227" 31 4.2 -0.0985568 0 63 0 0 3.98
"228" 31 3.5 -0.0985568 0 63 0 0 1.35
"229" 31 4.4 -0.0985568 0 63 0 0 3.42
"230" 31 3.7 -0.0985568 0 63 0 0 2
"231" 31 3.4 -0.0985568 0 63 0 0 2.11
"232" 31 3 -0.0985568 0 63 0 0 0.69
"233" 32 3.9 -1.012306 0 47 0 1 1.19
"234" 32 2.8 -1.012306 0 47 0 1 0.22
"235" 33 3.7 0.4883314 0 39 0 1 1.36
"236" 33 4.6 0.4883314 0 39 0 1 2.03
"237" 33 4.2 0.4883314 0 39 0 1 2.42
"238" 33 4.4 0.4883314 0 39 0 1 0.94
"239" 34 3.8 -0.1719505 1 47 1 0 0.74
"240" 34 4.1 -0.1719505 1 47 1 0 3.78
"241" 34 3.7 -0.1719505 1 47 1 0 1.91
"242" 34 4.1 -0.1719505 1 47 1 0 1.06
"243" 34 3 -0.1719505 1 47 1 0 0.47
"244" 34 3.2 -0.1719505 1 47 1 0 1.27
"245" 34 2.8 -0.1719505 1 47 1 0 1.79
"246" 34 4.7 -0.1719505 1 47 1 0 2.9
"247" 34 4.2 -0.1719505 1 47 1 0 2.42
"248" 34 3.2 -0.1719505 1 47 1 0 0.98
"249" 34 3.1 -0.1719505 1 47 1 0 0.05
"250" 34 4 -0.1719505 1 47 1 0 3.85
"251" 35 4.2 -1.167907 0 54 0 1 3.68
"252" 35 4.3 -1.167907 0 54 0 1 1.22
"253" 36 3.3 0.9525534 1 44 1 1 0.3
"254" 36 4.1 0.9525534 1 44 1 1 3.16
"255" 36 3.7 0.9525534 1 44 1 1 2.41
"256" 37 3.3 -1.140457 0 47 1 1 2.3
"257" 37 3.8 -1.140457 0 47 1 1 1.96
"258" 37 3.4 -1.140457 0 47 1 1 0.92
"259" 37 4.2 -1.140457 0 47 1 1 3.62
"260" 37 3.8 -1.140457 0 47 1 1 3.11
"261" 37 3.5 -1.140457 0 47 1 1 2.98
"262" 37 3.3 -1.140457 0 47 1 1 0.11
"263" 38 4.3 -0.8161172 0 62 0 1 1.57
"264" 38 4.1 -0.8161172 0 62 0 1 2.98
"265" 39 4.5 -0.4837456 0 60 0 1 3.35
"266" 39 4.5 -0.4837456 0 60 0 1 2.86
"267" 39 4.6 -0.4837456 0 60 0 1 4
"268" 39 4.4 -0.4837456 0 60 0 1 1.31
"269" 39 4.1 -0.4837456 0 60 0 1 2.44
"270" 39 4.5 -0.4837456 0 60 0 1 3
"271" 39 4.3 -0.4837456 0 60 0 1 1.57
"272" 41 4.4 -0.3261277 0 42 0 0 1.8
"273" 41 4.9 -0.3261277 0 42 0 0 3.86
"274" 41 4.7 -0.3261277 0 42 0 0 2.52
"275" 41 4.6 -0.3261277 0 42 0 0 1.64
"276" 42 4.8 0.1865589 0 35 0 1 4
"277" 42 4.2 0.1865589 0 35 0 1 2.61
"278" 42 4.6 0.1865589 0 35 0 1 2.23
"279" 43 4.7 1.881674 1 39 0 0 2.93
"280" 43 4.6 1.881674 1 39 0 0 1.45
"281" 43 3.6 1.881674 1 39 0 0 0.42
"282" 44 3.9 0.9626006 0 49 0 1 4
"283" 44 4 0.9626006 0 49 0 1 1.28
"284" 45 4.4 0.1534694 0 61 0 1 1.23
"285" 45 4.5 0.1534694 0 61 0 1 2.74
"286" 45 4.4 0.1534694 0 61 0 1 3.18
"287" 46 3 1.261046 0 33 0 0 1.69
"288" 46 3.7 1.261046 0 33 0 0 0.2
"289" 48 3.6 -0.3460746 1 56 0 1 1.38
"290" 48 3.1 -0.3460746 1 56 0 1 1.62
"291" 49 3.8 -0.744618 1 50 0 0 3.48
"292" 49 4.7 -0.744618 1 50 0 0 1.69
"293" 49 3.8 -0.744618 1 50 0 0 2.01
"294" 49 3.8 -0.744618 1 50 0 0 1.78
"295" 49 2.8 -0.744618 1 50 0 0 1.93
"296" 49 4 -0.744618 1 50 0 0 1.85
"297" 50 4 -0.7447439 0 52 0 1 2.29
"298" 50 3.5 -0.7447439 0 52 0 1 2.61
"299" 50 3.4 -0.7447439 0 52 0 1 2.06
"300" 50 4 -0.7447439 0 52 0 1 3.24
"301" 50 3.5 -0.7447439 0 52 0 1 2.54
"302" 50 3.8 -0.7447439 0 52 0 1 1.81
"303" 50 4.7 -0.7447439 0 52 0 1 2.04
"304" 50 3.9 -0.7447439 0 52 0 1 3.75
"305" 50 4.5 -0.7447439 0 52 0 1 2.5
"306" 50 4.2 -0.7447439 0 52 0 1 2.32
"307" 50 4.7 -0.7447439 0 52 0 1 2.62
"308" 50 4 -0.7447439 0 52 0 1 0.42
"309" 51 4.8 0.6361284 1 33 0 0 2.74
"310" 51 4.8 0.6361284 1 33 0 0 3.07
"311" 51 4.4 0.6361284 1 33 0 0 2.27
"312" 51 4.7 0.6361284 1 33 0 0 4
"313" 51 4.5 0.6361284 1 33 0 0 3.78
"314" 52 4.2 0.5434852 0 57 0 1 1.36
"315" 52 4.4 0.5434852 0 57 0 1 2.95
"316" 52 4.1 0.5434852 0 57 0 1 0.97
"317" 53 4.2 0.9825948 1 38 0 1 2.61
"318" 53 4.8 0.9825948 1 38 0 1 3.9
"319" 53 4.4 0.9825948 1 38 0 1 2.06
"320" 53 4.7 0.9825948 1 38 0 1 1.98
"321" 53 4.2 0.9825948 1 38 0 1 1.62
"322" 53 4.5 0.9825948 1 38 0 1 2.9
"323" 54 3.4 -1.538843 1 34 0 0 0.98
"324" 54 3.7 -1.538843 1 34 0 0 2.54
"325" 54 3.6 -1.538843 1 34 0 0 3.66
"326" 54 3.9 -1.538843 1 34 0 0 1.15
"327" 54 3.9 -1.538843 1 34 0 0 4
"328" 55 3.7 1.067531 0 34 0 0 2.13
"329" 55 3 1.067531 0 34 0 0 0.43
"330" 56 3.6 -0.4143639 0 32 0 0 1.59
"331" 56 3.6 -0.4143639 0 32 0 0 2.83
"332" 56 4.3 -0.4143639 0 32 0 0 3.13
"333" 56 4.5 -0.4143639 0 32 0 0 3.6
"334" 57 3.9 0.7962944 1 42 0 1 1.5
"335" 58 4.6 -0.6466943 1 43 0 1 4
"336" 58 4.1 -0.6466943 1 43 0 1 3.29
"337" 58 4.2 -0.6466943 1 43 0 1 3.94
"338" 58 4.1 -0.6466943 1 43 0 1 1.2
"339" 58 3.1 -0.6466943 1 43 0 1 0.81
"340" 58 3.6 -0.6466943 1 43 0 1 2.82
"341" 58 4.2 -0.6466943 1 43 0 1 1.15
"342" 58 3 -0.6466943 1 43 0 1 2.17
"343" 58 4.2 -0.6466943 1 43 0 1 3.35
"344" 59 3.4 -0.4299034 0 35 0 0 3.59
"345" 60 3.1 -0.5924066 1 62 0 1 0.2
"346" 60 2.7 -0.5924066 1 62 0 1 2.23
"347" 63 3.9 0.6851749 1 52 0 1 0.56
"348" 64 3.9 0.9755885 1 52 0 1 1.17
"349" 64 3.6 0.9755885 1 52 0 1 1.18
"350" 65 3.7 -1.178738 1 52 0 0 0.58
"351" 65 3.6 -1.178738 1 52 0 0 2.46
"352" 65 4.4 -1.178738 1 52 0 0 3.34
"353" 65 4.3 -1.178738 1 52 0 0 3.2
"354" 65 4.1 -1.178738 1 52 0 0 3.92
"355" 65 3.7 -1.178738 1 52 0 0 1.17
"356" 66 3.6 -1.157511 0 64 0 1 0.87
"357" 66 2.8 -1.157511 0 64 0 1 0.86
"358" 66 4 -1.157511 0 64 0 1 3.54
"359" 66 4.4 -1.157511 0 64 0 1 2.52
"360" 66 3.6 -1.157511 0 64 0 1 2.14
"361" 67 3.7 1.327346 0 50 0 1 2.04
"362" 68 2.9 -1.511268 0 60 0 1 0.07
"363" 68 2.6 -1.511268 0 60 0 1 0.66
"364" 70 4.8 -0.5783117 0 43 0 0 4
"365" 70 4.9 -0.5783117 0 43 0 0 3.38
"366" 70 4.3 -0.5783117 0 43 0 0 2.6
"367" 70 4.4 -0.5783117 0 43 0 0 2.17
"368" 70 4.3 -0.5783117 0 43 0 0 4
"369" 70 4.7 -0.5783117 0 43 0 0 3.35
"370" 70 4.3 -0.5783117 0 43 0 0 3.52
"371" 70 4.6 -0.5783117 0 43 0 0 4
"372" 71 4.9 -0.671936 0 50 1 0 3.86
"373" 71 4.8 -0.671936 0 50 1 0 3.2
"374" 71 4.7 -0.671936 0 50 1 0 1.99
"375" 71 4.8 -0.671936 0 50 1 0 4
"376" 71 4.9 -0.671936 0 50 1 0 1.65
"377" 71 4.8 -0.671936 0 50 1 0 4
"378" 71 4.8 -0.671936 0 50 1 0 2.39
"379" 71 5 -0.671936 0 50 1 0 1.96
"380" 71 4.5 -0.671936 0 50 1 0 3.35
"381" 72 3.8 0.6683338 0 52 0 1 1.57
"382" 72 3.8 0.6683338 0 52 0 1 3.35
"383" 72 3.8 0.6683338 0 52 0 1 2.26
"384" 72 4 0.6683338 0 52 0 1 3.45
"385" 72 4.2 0.6683338 0 52 0 1 2.42
"386" 73 4.5 0.7924695 0 51 0 1 2.95
"387" 73 4.5 0.7924695 0 51 0 1 3.55
"388" 73 4.6 0.7924695 0 51 0 1 4
"389" 73 4.7 0.7924695 0 51 0 1 4
"390" 74 4.1 -0.6548505 0 38 0 1 2.13
"391" 74 3.6 -0.6548505 0 38 0 1 3.73
"392" 74 4 -0.6548505 0 38 0 1 3.04
"393" 75 3.4 0.2510546 1 47 0 1 0.49
"394" 76 2.8 -0.2397178 1 43 1 1 1.26
"395" 77 4.1 -1.113346 1 38 0 0 4
"396" 77 3.5 -1.113346 1 38 0 0 3.31
"397" 77 3.4 -1.113346 1 38 0 0 0.15
"398" 77 4.1 -1.113346 1 38 0 0 3.97
"399" 77 4.2 -1.113346 1 38 0 0 3.08
"400" 78 4.3 -0.1135935 0 43 0 1 4
"401" 78 4.1 -0.1135935 0 43 0 1 3.19
"402" 78 3.4 -0.1135935 0 43 0 1 3.31
"403" 79 3.5 -0.8351366 0 57 0 1 1.94
"404" 79 3.6 -0.8351366 0 57 0 1 1.27
"405" 80 3.7 0.9005994 1 51 0 1 1.57
"406" 80 3 0.9005994 1 51 0 1 0.39
"407" 80 4.6 0.9005994 1 51 0 1 1.59
"408" 81 4 -0.620769 0 45 0 0 2.11
"409" 81 4.8 -0.620769 0 45 0 0 4
"410" 81 4.6 -0.620769 0 45 0 0 4
"411" 82 3.4 -0.8552412 0 57 0 1 1.76
"412" 82 4.4 -0.8552412 0 57 0 1 1.26
"413" 82 3.6 -0.8552412 0 57 0 1 1.54
"414" 82 3.8 -0.8552412 0 57 0 1 2.02
"415" 82 3.7 -0.8552412 0 57 0 1 0.32
"416" 82 4.7 -0.8552412 0 57 0 1 3.8
"417" 82 4.5 -0.8552412 0 57 0 1 3.11
"418" 82 5 -0.8552412 0 57 0 1 2.08
"419" 82 3.8 -0.8552412 0 57 0 1 0.82
"420" 82 4.1 -0.8552412 0 57 0 1 0.8
"421" 83 4.3 1.065906 1 47 0 0 3.61
"422" 83 4.4 1.065906 1 47 0 0 2.73
"423" 83 4.7 1.065906 1 47 0 0 2.95
"424" 83 3.9 1.065906 1 47 0 0 1.56
"425" 84 4.8 1.144253 1 54 1 1 4
"426" 84 4.3 1.144253 1 54 1 1 3.69
"427" 84 4.6 1.144253 1 54 1 1 2.57
"428" 84 3.8 1.144253 1 54 1 1 2.59
"429" 85 5 1.685985 0 58 0 0 3.16
"430" 85 4.9 1.685985 0 58 0 0 4
"431" 85 4.6 1.685985 0 58 0 0 3.09
"432" 85 4.6 1.685985 0 58 0 0 4
"433" 85 5 1.685985 0 58 0 0 1.94
"434" 85 4.6 1.685985 0 58 0 0 2.44
"435" 85 4.9 1.685985 0 58 0 0 4
"436" 86 4 1.684802 0 42 0 1 0.83
"437" 86 3.9 1.684802 0 42 0 1 0.6
"438" 87 4.1 0.6362435 0 33 0 0 2.86
"439" 88 2.9 -1.269975 0 62 0 1 0.18
"440" 88 2.8 -1.269975 0 62 0 1 0.48
"441" 88 2.8 -1.269975 0 62 0 1 2.88
"442" 88 4 -1.269975 0 62 0 1 0.95
"443" 88 3.3 -1.269975 0 62 0 1 2.92
"444" 88 3 -1.269975 0 62 0 1 1.83
"445" 89 3.6 1.681103 1 35 1 0 1.06
"446" 89 3.8 1.681103 1 35 1 0 2.41
"447" 90 3.9 -0.6756103 0 61 0 1 2.98
"448" 91 4.7 -0.0901815 1 52 0 1 4
"449" 91 4.7 -0.0901815 1 52 0 1 2.74
"450" 92 3.9 -0.1450257 1 60 0 0 2.86
"451" 92 4.4 -0.1450257 1 60 0 0 2.65
"452" 92 3.6 -0.1450257 1 60 0 0 1.66
"453" 92 4.2 -0.1450257 1 60 0 0 2.17
"454" 92 3.4 -0.1450257 1 60 0 0 3.24
"455" 92 4 -0.1450257 1 60 0 0 0.91
"456" 93 4.2 1.143045 0 32 0 0 1.39
"457" 93 4.4 1.143045 0 32 0 0 1.54
"458" 93 4.5 1.143045 0 32 0 0 2.43
"459" 93 3.2 1.143045 0 32 0 0 2.84
"460" 93 4.3 1.143045 0 32 0 0 3.43
"461" 94 3.3 0.3320507 1 42 1 0 2.62
"462" 94 3.2 0.3320507 1 42 1 0 3.39
"463" 94 4.1 0.3320507 1 42 1 0 1.69
